#sample	strand	convtype	total_read	read_with_peak	read_with_peak_perc	peaktype
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR27_DESCSUPERCOIL_NT	Pos	CH	300	0	0	PEAK
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR28_DESCSUPERCOIL_NT	Pos	CH	281	0	0	PEAK
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR29_DESCSUPERCOIL_NT	Pos	CH	642	2	0.3	PEAK
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR30_DESCSUPERCOIL_NT	Pos	CH	187	0	0	PEAK
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR31_DESCSUPERCOIL_NT	Pos	CH	31	0	0	PEAK
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR01_DESCSUPERCOIL_TX	Pos	CH	1559	1	0.1	PEAK
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR02_DESCSUPERCOIL_TX	Pos	CH	808	2	0.2	PEAK
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR03_DESCSUPERCOIL_TX	Pos	CH	1826	1	0.1	PEAK
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR04_DESCSUPERCOIL_TX	Pos	CH	897	1	0.1	PEAK
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR05_DESCSUPERCOIL_TX	Pos	CH	918	1	0.1	PEAK
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR06_DESCSUPERCOIL_TX	Pos	CH	1381	1	0.1	PEAK
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR07_DESCSUPERCOIL_TX	Pos	CH	1217	2	0.2	PEAK
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR08_DESCSUPERCOIL_TX	Pos	CH	792	0	0	PEAK
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR09_DESCSUPERCOIL_TX	Pos	CH	1725	2	0.1	PEAK
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR10_DESCSUPERCOIL_TX	Pos	CH	823	1	0.1	PEAK
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR11_DESCSUPERCOIL_TX	Pos	CH	823	3	0.4	PEAK
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR12_DESCSUPERCOIL_TX	Pos	CH	612	0	0	PEAK
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR13_DESCSUPERCOIL_TX	Pos	CH	1265	1	0.1	PEAK
