#sample	strand	convtype	total_read	read_with_peak	read_with_peak_perc	peaktype
PBEH2_BCBC39_PLASMIDT7INIT_VR10_DESCLINEARAPALI_NT_CORPA	Neg	GH	7818	1	0	PEAK_TEMP
PBEH2_BCBC39_PLASMIDT7INIT_VR20_DESCLINEARAPALI_NT_CORPA	Neg	GH	7703	0	0	PEAK_TEMP
PBEH2_BCBC40_PLASMIDPFC9_DESCLINEARAPALI_TX_CORPA	Neg	GH	850	8	0.9	PEAK_TEMP
PBEH2_BCBC40_PLASMIDT7INIT_VR10_DESCLINEARAPALI_TX_CORPA	Neg	GH	2576	18	0.7	PEAK_TEMP
PBEH2_BCBC40_PLASMIDT7INIT_VR20_DESCLINEARAPALI_TX_CORPA	Neg	GH	1621	22	1.4	PEAK_TEMP
PBEH2_BCBC41_PLASMIDPFC9_DESCLINEARAPALI_TX_CORPA_RH1	Neg	GH	3419	16	0.5	PEAK_TEMP
PBEH2_BCBC41_PLASMIDT7INIT_VR10_DESCLINEARAPALI_TX_CORPA_RH1	Neg	GH	13573	71	0.5	PEAK_TEMP
PBEH2_BCBC41_PLASMIDT7INIT_VR20_DESCLINEARAPALI_TX_CORPA_RH1	Neg	GH	11854	59	0.5	PEAK_TEMP
PBEH2_BCBC42_PLASMIDPFC9_DESCLINEARAPALI_NT_CORPA_DEPROTEINZED	Neg	GH	5356	20	0.4	PEAK_TEMP
PBEH2_BCBC42_PLASMIDT7INIT_VR10_DESCLINEARAPALI_NT_CORPA_DEPROTEINZED	Neg	GH	20012	46	0.2	PEAK_TEMP
PBEH2_BCBC42_PLASMIDT7INIT_VR20_DESCLINEARAPALI_NT_CORPA_DEPROTEINZED	Neg	GH	20061	72	0.4	PEAK_TEMP
PBEH2_BCBC43_PLASMIDPFC9_DESCLINEARAPALI_TX_CORPA_DEPROTEINZED	Neg	GH	351	7	2	PEAK_TEMP
PBEH2_BCBC43_PLASMIDT7INIT_VR10_DESCLINEARAPALI_TX_CORPA_DEPROTEINZED	Neg	GH	886	78	8.8	PEAK_TEMP
PBEH2_BCBC43_PLASMIDT7INIT_VR20_DESCLINEARAPALI_TX_CORPA_DEPROTEINZED	Neg	GH	386	41	10.6	PEAK_TEMP
PBEH2_BCBC44_PLASMIDPFC9_DESCLINEARAPALI_TX_CORPA_DEPROTEINZED_RH1	Neg	GH	11695	92	0.8	PEAK_TEMP
PBEH2_BCBC44_PLASMIDT7INIT_VR10_DESCLINEARAPALI_TX_CORPA_DEPROTEINZED_RH1	Neg	GH	21368	343	1.6	PEAK_TEMP
PBEH2_BCBC44_PLASMIDT7INIT_VR20_DESCLINEARAPALI_TX_CORPA_DEPROTEINZED_RH1	Neg	GH	20708	237	1.1	PEAK_TEMP
PBEH2_BCBC45_PLASMIDT7INIT_VR10_DESCSUPERCOIL_NT_COSSB	Neg	GH	1316	37	2.8	PEAK_TEMP
PBEH2_BCBC46_PLASMIDT7INIT_VR10_DESCSUPERCOIL_TX_COSSB	Neg	GH	68	0	0	PEAK_TEMP
PBEH2_BCBC47_PLASMIDT7INIT_VR10_DESCSUPERCOIL_TX_POSTSSB	Neg	GH	1647	1	0.1	PEAK_TEMP
PBEH2_BCBC48_PLASMIDT7INIT_VR10_DESCSUPERCOIL_TX_COSSB_RH1	Neg	GH	1554	0	0	PEAK_TEMP
PBEH2_BCBC49_PLASMIDT7INIT_VR20_DESCSUPERCOIL_NT_COSSB	Neg	GH	1809	42	2.3	PEAK_TEMP
PBEH2_BCBC50_PLASMIDT7INIT_VR20_DESCSUPERCOIL_TX_COSSB	Neg	GH	1613	0	0	PEAK_TEMP
PBEH2_BCBC51_PLASMIDT7INIT_VR20_DESCSUPERCOIL_TX_POSTSSB	Neg	GH	1943	1	0.1	PEAK_TEMP
PBEH2_BCBC52_PLASMIDT7INIT_VR20_DESCSUPERCOIL_TX_COSSB_RH1	Neg	GH	1080	0	0	PEAK_TEMP
PBEH2_BCBC53_PLASMIDPFC9_DESCSUPERCOIL_NT_COSSB	Neg	GH	3251	18	0.6	PEAK_TEMP
PBEH2_BCBC54_PLASMIDPFC9_DESCSUPERCOIL_TX_COSSB	Neg	GH	1309	3	0.2	PEAK_TEMP
PBEH2_BCBC55_PLASMIDPFC9_DESCSUPERCOIL_TX_POSTSSB	Neg	GH	1152	4	0.3	PEAK_TEMP
PBEH2_BCBC56_PLASMIDPFC9_DESCSUPERCOIL_TX_COSSB_RH1	Neg	GH	1173	1	0.1	PEAK_TEMP
PBEH2_BCBC57_PLASMIDPFC53_DESCSUPERCOIL_NT_COSSB	Neg	GH	14	0	0	PEAK_TEMP
PBEH2_BCBC58_PLASMIDPFC53_DESCSUPERCOIL_TX_COSSB	Neg	GH	40	0	0	PEAK_TEMP
PBEH2_BCBC59_PLASMIDPFC53_DESCSUPERCOIL_TX_POSTSSB	Neg	GH	11	0	0	PEAK_TEMP
PBEH2_BCBC60_PLASMIDPFC53_DESCSUPERCOIL_TX_COSSB_RH1	Neg	GH	5	0	0	PEAK_TEMP
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR01_DESCSUPERCOIL_NT	Neg	GH	851	1	0.1	PEAK_TEMP
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR02_DESCSUPERCOIL_NT	Neg	GH	447	0	0	PEAK_TEMP
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR03_DESCSUPERCOIL_NT	Neg	GH	969	0	0	PEAK_TEMP
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR04_DESCSUPERCOIL_NT	Neg	GH	579	2	0.3	PEAK_TEMP
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR05_DESCSUPERCOIL_NT	Neg	GH	530	0	0	PEAK_TEMP
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR06_DESCSUPERCOIL_NT	Neg	GH	731	1	0.1	PEAK_TEMP
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR07_DESCSUPERCOIL_NT	Neg	GH	631	0	0	PEAK_TEMP
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR08_DESCSUPERCOIL_NT	Neg	GH	536	0	0	PEAK_TEMP
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR09_DESCSUPERCOIL_NT	Neg	GH	950	3	0.3	PEAK_TEMP
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR10_DESCSUPERCOIL_NT	Neg	GH	525	1	0.2	PEAK_TEMP
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR11_DESCSUPERCOIL_NT	Neg	GH	445	0	0	PEAK_TEMP
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR12_DESCSUPERCOIL_NT	Neg	GH	485	1	0.2	PEAK_TEMP
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR13_DESCSUPERCOIL_NT	Neg	GH	665	3	0.5	PEAK_TEMP
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR14_DESCSUPERCOIL_NT	Neg	GH	510	2	0.4	PEAK_TEMP
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR15_DESCSUPERCOIL_NT	Neg	GH	299	0	0	PEAK_TEMP
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR16_DESCSUPERCOIL_NT	Neg	GH	522	0	0	PEAK_TEMP
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR17_DESCSUPERCOIL_NT	Neg	GH	295	0	0	PEAK_TEMP
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR18_DESCSUPERCOIL_NT	Neg	GH	688	3	0.4	PEAK_TEMP
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR19_DESCSUPERCOIL_NT	Neg	GH	546	0	0	PEAK_TEMP
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR20_DESCSUPERCOIL_NT	Neg	GH	673	3	0.4	PEAK_TEMP
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR21_DESCSUPERCOIL_NT	Neg	GH	108	0	0	PEAK_TEMP
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR22_DESCSUPERCOIL_NT	Neg	GH	622	1	0.2	PEAK_TEMP
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR23_DESCSUPERCOIL_NT	Neg	GH	683	2	0.3	PEAK_TEMP
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR24_DESCSUPERCOIL_NT	Neg	GH	641	0	0	PEAK_TEMP
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR25_DESCSUPERCOIL_NT	Neg	GH	498	1	0.2	PEAK_TEMP
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR26_DESCSUPERCOIL_NT	Neg	GH	604	0	0	PEAK_TEMP
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR27_DESCSUPERCOIL_NT	Neg	GH	478	1	0.2	PEAK_TEMP
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR28_DESCSUPERCOIL_NT	Neg	GH	353	0	0	PEAK_TEMP
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR29_DESCSUPERCOIL_NT	Neg	GH	808	1	0.1	PEAK_TEMP
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR30_DESCSUPERCOIL_NT	Neg	GH	434	0	0	PEAK_TEMP
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR31_DESCSUPERCOIL_NT	Neg	GH	319	0	0	PEAK_TEMP
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR01_DESCSUPERCOIL_TX	Neg	GH	1857	2	0.1	PEAK_TEMP
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR02_DESCSUPERCOIL_TX	Neg	GH	1056	1	0.1	PEAK_TEMP
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR03_DESCSUPERCOIL_TX	Neg	GH	2299	2	0.1	PEAK_TEMP
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR04_DESCSUPERCOIL_TX	Neg	GH	1131	1	0.1	PEAK_TEMP
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR05_DESCSUPERCOIL_TX	Neg	GH	1103	1	0.1	PEAK_TEMP
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR06_DESCSUPERCOIL_TX	Neg	GH	1651	1	0.1	PEAK_TEMP
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR07_DESCSUPERCOIL_TX	Neg	GH	1426	1	0.1	PEAK_TEMP
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR08_DESCSUPERCOIL_TX	Neg	GH	1138	1	0.1	PEAK_TEMP
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR09_DESCSUPERCOIL_TX	Neg	GH	2185	0	0	PEAK_TEMP
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR10_DESCSUPERCOIL_TX	Neg	GH	1008	1	0.1	PEAK_TEMP
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR11_DESCSUPERCOIL_TX	Neg	GH	942	0	0	PEAK_TEMP
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR12_DESCSUPERCOIL_TX	Neg	GH	959	2	0.2	PEAK_TEMP
