sample_id	plasmid	strand	call_type	filepath
31	VR20F_3HGH1	Neg	low	mergedBed/PBEH2-31_Plasmid_VR20F_3HGH1_Strand_Neg_call_low.bed.tsv
31	VR20F_3HGH1	Pos	high	mergedBed/PBEH2-31_Plasmid_VR20F_3HGH1_Strand_Pos_call_high.bed.tsv
31	VR20F_3HGH1	Pos	low	mergedBed/PBEH2-31_Plasmid_VR20F_3HGH1_Strand_Pos_call_low.bed.tsv
31	VR20F_3HGH2	Neg	high	mergedBed/PBEH2-31_Plasmid_VR20F_3HGH2_Strand_Neg_call_high.bed.tsv
31	VR20F_3HGH2	Neg	low	mergedBed/PBEH2-31_Plasmid_VR20F_3HGH2_Strand_Neg_call_low.bed.tsv
31	VR20F_3HGH2	Pos	high	mergedBed/PBEH2-31_Plasmid_VR20F_3HGH2_Strand_Pos_call_high.bed.tsv
31	VR20F_3HGH2	Pos	low	mergedBed/PBEH2-31_Plasmid_VR20F_3HGH2_Strand_Pos_call_low.bed.tsv
31	VR20F_3HGH3	Neg	high	mergedBed/PBEH2-31_Plasmid_VR20F_3HGH3_Strand_Neg_call_high.bed.tsv
31	VR20F_3HGH3	Neg	low	mergedBed/PBEH2-31_Plasmid_VR20F_3HGH3_Strand_Neg_call_low.bed.tsv
31	VR20F_3HGH3	Pos	high	mergedBed/PBEH2-31_Plasmid_VR20F_3HGH3_Strand_Pos_call_high.bed.tsv
31	VR20F_3HGH3	Pos	low	mergedBed/PBEH2-31_Plasmid_VR20F_3HGH3_Strand_Pos_call_low.bed.tsv
32	VR20F_1LOW1	Neg	high	mergedBed/PBEH2-32_Plasmid_VR20F_1LOW1_Strand_Neg_call_high.bed.tsv
32	VR20F_1LOW1	Neg	low	mergedBed/PBEH2-32_Plasmid_VR20F_1LOW1_Strand_Neg_call_low.bed.tsv
32	VR20F_1LOW1	Pos	high	mergedBed/PBEH2-32_Plasmid_VR20F_1LOW1_Strand_Pos_call_high.bed.tsv
32	VR20F_1LOW1	Pos	low	mergedBed/PBEH2-32_Plasmid_VR20F_1LOW1_Strand_Pos_call_low.bed.tsv
32	VR20F_1LOW2	Neg	high	mergedBed/PBEH2-32_Plasmid_VR20F_1LOW2_Strand_Neg_call_high.bed.tsv
32	VR20F_1LOW2	Neg	low	mergedBed/PBEH2-32_Plasmid_VR20F_1LOW2_Strand_Neg_call_low.bed.tsv
32	VR20F_1LOW2	Pos	low	mergedBed/PBEH2-32_Plasmid_VR20F_1LOW2_Strand_Pos_call_low.bed.tsv
